audience_id,audience_name,audience_type,type,category,parent,source,updated_at
"4573969","ソウルへの旅","IN_MARKET","in_market","旅行","旅（目的地別）> アジア太平洋地域への旅","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4574089","上海への旅","IN_MARKET","in_market","旅行","旅（目的地別）> アジア太平洋地域への旅 > 中国への旅","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4574209","シンガポールへの旅","IN_MARKET","in_market","旅行","旅（目的地別）> アジア太平洋地域への旅","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4574329","シドニーへの旅","IN_MARKET","in_market","旅行","旅（目的地別）> アジア太平洋地域への旅 > オーストラリアへの旅","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4574449","台北への旅","IN_MARKET","in_market","旅行","旅（目的地別）> アジア太平洋地域への旅","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4574569","東京への旅","IN_MARKET","in_market","旅行","旅（目的地別）> アジア太平洋地域への旅 > 日本への旅","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4574689","ベトナムへの旅","IN_MARKET","in_market","旅行","旅（目的地別）> アジア太平洋地域への旅","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4574809","アムステルダムへの旅","IN_MARKET","in_market","旅行","旅（目的地別）> ヨーロッパへの旅","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4574929","バルセロナへの旅","IN_MARKET","in_market","旅行","旅（目的地別）> ヨーロッパへの旅 > スペインへの旅","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4575049","ベルリンへの旅","IN_MARKET","in_market","旅行","旅（目的地別）> ヨーロッパへの旅 > ドイツへの旅","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4575169","カナリア諸島への旅","IN_MARKET","in_market","旅行","旅（目的地別）> ヨーロッパへの旅 > スペインへの旅","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4575289","クロアチアへの旅","IN_MARKET","in_market","旅行","旅（目的地別）> ヨーロッパへの旅","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4575409","フランクフルトへの旅","IN_MARKET","in_market","旅行","旅（目的地別）> ヨーロッパへの旅 > ドイツへの旅","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4575529","ギリシャへの旅","IN_MARKET","in_market","旅行","旅（目的地別）> ヨーロッパへの旅","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
